Weight,Xcg,time
64222.09832240617,7.150311438834871,1041.9
64221.89972279606,7.150311005124455,1042.0
64221.70114724147,7.150310571463892,1042.1
64221.502602414694,7.150310137867754,1042.2
64221.3040924653,7.1503097043451005,1042.3
64221.10562487321,7.150309270912274,1042.4
64220.90720987595,7.150308837591631,1042.5
64220.708855305835,7.150308404400278,1042.6
64220.510562643394,7.1503079713414515,1042.7
64220.31232766683,7.150307538405935,1042.8
64220.11414390416,7.1503071055795955,1042.9
64219.91600467715,7.15030667284785,1043.0
64219.717901914504,7.150306240193073,1043.1
64219.519824003684,7.150305807589901,1043.2
64219.321755556724,7.1503053750047325,1043.3
64219.12367857111,7.150304942398245,1043.4
64218.925572591004,7.150304509725764,1043.5
64218.72741453669,7.150304076936879,1043.6
64218.52918212154,7.150303643982914,1043.7
64218.33086229081,7.150303210835353,1043.8
64218.13246027505,7.150302777505615,1043.9
64217.93400240094,7.150302344051198,1044.0
64217.73552924716,7.15030191056073,1044.1
64217.53708179688,7.1503014771237225,1044.2
64217.3386868533,7.150301043798719,1044.3
64217.140347801986,7.150300610593117,1044.4
64216.94204486046,7.150300177463708,1044.5
64216.74374568087,7.150299744339842,1044.6
64216.545421860246,7.150299311159478,1044.7
64216.34706245101,7.150298877898707,1044.8
64216.148676474586,7.150298444577229,1044.9
64215.95028339458,7.150298011237559,1045.0
64215.75189900926,7.150297577914201,1045.1
64215.553527292315,7.150297144615837,1045.2
64215.35516315578,7.150296711331356,1045.3
64215.15680161464,7.150296278049866,1045.4
64214.95844386315,7.150295844773977,1045.5
64214.760094866004,7.1502954115145325,1045.6
64214.56175601098,7.150294978274567,1045.7
64214.363420502166,7.150294545039234,1045.8
64214.16507486325,7.150294111779096,1045.9
64213.966703879385,7.150293678460919,1046.0
64213.76829535528,7.150293245058062,1046.1
64213.56984344691,7.150292811557756,1046.2
64213.371350307345,7.150292377964705,1046.3
64213.1728252521,7.150291944299257,1046.4
64212.97428114563,7.150291510589509,1046.5
64212.77572955526,7.15029107686073,1046.6
64212.57717741703,7.150290643128074,1046.7
64212.37862720031,7.150290209396932,1046.8
64212.18008021763,7.1502897756701715,1046.9
64211.981540251996,7.150289341956059,1047.0
64211.783014177905,7.150288908269612,1047.1
64211.584509013235,7.1502884746261595,1047.2
64211.38602879723,7.1502880410345275,1047.3
64211.18757532554,7.150287607498641,1047.4
64210.989152455004,7.150287174026926,1047.5
64210.7907690025,7.150286740638644,1047.6
64210.592436084145,7.1502863073580825,1047.7
64210.3941604113,7.150285874199904,1047.8
64210.195938956895,7.150285441157498,1047.9
64209.9977588942,7.1502850082028475,1048.0
64209.79960265453,7.150284575297569,1048.1
64209.60145522893,7.150284142408873,1048.2
64209.40331036671,7.150283709523108,1048.3
64209.205173014125,7.150283276651076,1048.4
64209.00705634941,7.15028284382157,1048.5
64208.80897376293,7.150282411063845,1048.6
64208.610929504444,7.150281978387187,1048.7
64208.41291403973,7.150281545770768,1048.8
64208.21490810943,7.15028111317251,1048.9
64208.016893351574,7.1502806805523,1049.0
64207.81886205033,7.150280247893275,1049.1
